degree,AccountName
3,10291399150236a6
1,10292583150226v6
1,10293555222224m5
2,10294555150226v5
1,10296578150226v6
6,10297399150137a6
4,10301399150132a6
4,1030157150226v5
1,10311555150226v5
1,10312555147226v6
11,10313258150226v5
2,1031399150137a6
1,10318555150226v6
1,10323321150226v5
2,10325321150226v5
1,10326310150224m5
1,10328554150226v5
1,10330481150102m6
2,10333321150226v5
6,10340228106137v6
1,10341555150195v6
3,10345399150150a6
1,1034555150226v6
3,10346399150133a6
1,10349555150166v5
2,10350161150226v5
3,10353399150236a6
2,10356399150185a6
2,10358399150185a6
1,10359555144190m6
3,10360583150195v6
3,10361514150159m6
1,10363543150117m5
1,1036527150226v5
1,10366555153224m5
3,10368555185126m5
34,10369176185137m6
9,10370404150226v6
1,10371555150226v6
3,10372236150162v6
4,10374253150195m5
1,1037520150190a6
1,10376555134137v6
1,10377555150102v5
3,10379207150226v6
1,1038111150195v6
1,10383555119224m6
3,10385399150213a6
1,10390555100102v6
3,10391555150226v5
5,10393399150137a6
4,1039391150166v5
4,10394555147226v6
2,10400555150226v5
4,10401555150226v5
1,10407369150224m5
2,10409111150226v5
1,10410555150226v5
1,10413439144203m6
3,10414368102224m5
12,10415555149226v6
1,10420399150223a6
1,10425555150226v5
2,10427360150126m5
1,10429543150224m5
2,10431369150224m5
3,1043399150146a6
1,10434399150223a6
1,10435481150197m6
6,10439399150102a6
1,10441555121190m6
4,10446399150137a6
12,10447490150226v5
1,10449555190137v6
1,1045111150226v6
2,10456555150226v5
2,10458553150226v6
3,10459399150146a6
1,10464399150132a6
1,10465555150226v6
1,10466555150195v5
1,10468543150224m5
1,10471144150224m5
1,10472127150224m5
1,10475555150224m6
5,1047560150226v5
8,10476404150226v6
1,10477399150132a6
1,10480555150224m5
1,1048555163137m6
47,10486514150219m6
2,10487512150195m6
1,10489445150219m5
2,10490555210137m5
2,10492111150129m6
2,10493455150126m5
1,10495310150195m5
1,1049555150226v5
6,10497555147134m6
2,10501577150117m5
1,10502351106226v6
4,10505567150195m5
1,10507555150226v5
2,10509194150166m5
2,10512555159226v5
1,1051399150223a6
3,10516399150236a6
3,10517399150137a6
1,10523390150224m5
1,1052555121137v6
1,10528555119226v6
1,10530555150195v5
3,10532534150117m5
1,1053555150226v5
1,10536420150224m5
1,10538555150195v5
1,10539555102137v6
1,10541555197137v6
5,10542463144226v5
1,10543154150166v5
2,10545489150219m6
1,1054553150195v5
1,10547115150166v5
9,10549399150195a6
6,10553500185224m6
4,10555399150198a6
1,10557555231226v6
1,10561170150102m6
1,10562540106226v5
1,1056543150224m5
164,10568204185226v6
2,10570555147219m6
1,10573399150223a6
1,10575555111219m6
1,10576555150226v5
2,10578583150226v6
1,1058555188138v5
1,10591201150195v5
7,10594221150226v5
1,10598399150237a6
1,10599399150133a6
1,10601352159134m6
1,10603555117223a11
5,10605555150224m5
2,10606111150224m5
1,10608555146137v6
1,10612555150226v5
2,10613250150226v5
68,10616583150226v6
1,10617399150185a6
1,10618399150223a6
1,10619555150226v6
1,10620555150226v5
1,10621216150102m6
2,10622520150190a6
1,10624360150126m5
4,10625583150219m6
7,10630399150185a6
1,10633420150102m6
1,1063555146224m6
9,10636500185224m6
3,10638520150190a6
2,10640268150126v5
2,1064407185102v6
1,10644583150226v6
14,10645555146226v6
1,10649463144226v6
2,10652321150166v5
1,10653555210147v6
2,10655396150219m5
1,10659399150132a6
1,10661127150224m5
2,10662373150195v5
3,10666512150102m6
1,10670501150144v6
2,10677399150188a6
5,10680373150226v5
9,10682514150224m5
1,10684493150102m6
1,1068555150224m5
1,10685555150226v6
2,10689399150146a6
4,10694399150146a6
1,10697555150226v5
2,10698399150150a6
1,10699343150166v5
2,10700555150226v6
1,10705489150195m6
1,10706555150226v5
1,10709399150185a6
1,10713555150226v5
1,10714555150226v6
2,10716224106137m5
4,10716224106195m6
1,10723225150117m5
4,10725123144137v6
3,10726555150226v5
3,10727399150207a6
1,10729127150224m5
1,10731555150226v5
2,10733543150224m5
5,10734254150226v6
6,10736130185195v6
5,10736296185195v6
5,10737399150118a6
1,10738555150195v6
1,10739555150226v5
12,10740170150197m6
1,10741555150226v5
2,10743418150226v6
4,10744399150133a6
2,1074555102138v5
1,10747555119102m6
5,10748455150195v5
2,10749181150228v6
3,10750382150226v5
1,10752555150226v5
1,10753555119137m6
3,10754399150198a6
1,10755555144197m6
1,10756390150224m5
3,10757490150141m6
1,10763390150224m5
1,1076555106137v5
1,10769127150224m5
7,10770264150226v6
1,10771390150117m5
3,10772399150198a6
4,10775569117226v5
3,10776512150166v5
2,10778555150226v6
1,10781277227226v6
2,10782520150190a6
6,1078512150226v5
4,10786399150236a6
2,10787555150226v5
4,10791399150102a6
1,10793555150226v6
1,10794555150226v5
3,1079555102102m5
1,10797225150224m5
2,10800555150226v5
2,10801149147166m5
1,10804383150226v6
2,1080555117226v5
2,10807583150226v6
1,10813399150223a6
1,10816555150226v5
1,10817555100166v5
1,10819555185226v5
2,10820399150146a6
1,10822310150224m5
1,10823555171224m5
1,1082399150146a6
5,10825111150195v6
4,10827439144219m6
1,10831512150117m5
2,1083226150203m6
1,10834390150224m5
1,10835399150223a6
6,10836537150224m5
2,10837399150137a6
8,10838143150226v5
4,10839399150236a6
2,10842555150226v5
1,10844225150102m6
2,10847302150226v6
1,10848555150117m5
1,10852399150137a6
1,10853555188102m6
1,10854593150226v5
26,1085500185219m6
2,10858555150226v6
3,10859231150117m5
1,10861399150133a6
2,10864555185226v6
4,10866399150185a6
1,10867390150195m5
1,10870555146226v5
2,1087555150195v5
109,10876104185137v6
3,10878399150198a6
1,10881555150226v5
1,10883543150117m5
1,10884555150226v5
1,10888376150226v6
2,10889555150226v5
5,10893399150198a6
6,10894399150102a6
4,10895167150226v5
3,1089527150226v5
1,10896300150226v6
1,10897399150223a6
1,10899555134226v6
1,10901555117102v6
1,1090390150117m5
2,10905555146190m6
1,10906520150190a6
1,10907555150226v6
5,10908333150226v5
2,10909225150195m5
2,10914555102224m5
2,10915399150132a6
1,1091555213225m5
1,10916512150229m5
1,10918381150226v6
1,10919520150190a6
3,10922444150226v5
1,10923555150226v6
2,10924327150142d6
4,10925543150224m5
3,1092555150226v5
1,10926555150195v5
1,10929555150226v6
2,10930444150226v5
1,10934555150226v6
2,10935399150157a6
1,10940492150226v6
1,10944555150224m5
1,10947369150117m5
5,10948215150226v5
1,10951555119226v6
3,10952555150226v6
1,10954555144198a6
2,10955351106137v6
4,10956555146226v6
1,10957543150224m5
1,10959545185138v5
10,10960567150117m5
2,10961399150137a6
1,10962260150226v6
1,10963555150226v6
1,10964555106224m5
1,10965543150224m5
3,10966555150226v5
3,10972111150224m5
5,1097555144137m6
3,10975555150117m5
2,10976399150137a6
1,10977111150195v5
2,10980567150141v6
2,1098399150119a6
2,10985555150226v5
3,10987555213224m6
1,10988408185195v6
5,10989360150166v5
4,10990399150198a6
1,10992555188226v6
1,1099399150185a6
1,10996555135224m5
1,11000512150195m5
3,11001143150195v5
1,11003555150226v5
1,11005555213224m6
2,11007361150195v5
3,11010555131230m6
1,11013555119224m6
1,11014137150226v6
1,11015555223226v6
7,11019277144226v6
2,11020555150117m5
1,11021555150226v5
5,11027154150226v5
1,11030555209226v5
1,11035302150226v5
2,1103555150226v5
2,11036439144195m6
2,11037555150226v6
1,11039142185114m6
2,11040399150137a6
1,11043399150223a6
1,11044555102102v6
1,11053555150226v5
1,1105390150195m5
1,11056589150226v6
2,11058399150132a6
1,11059555150226v5
2,11060399150104a6
1,1106555210224m6
3,11065555150226v5
1,11066555150226v5
1,11068555144166m5
3,11074555106137v6
2,11078492150117m5
1,11079420150224m5
1,11083134131226v6
1,1108555135219m6
2,11086555150226v6
1,11088555126137v6
5,11089349117226v5
2,11090368100102v6
1,11091225150195m5
4,11092399150198a6
2,1109555150226v6
2,11096321150226v5
1,11100302150226v5
1,11101399150236a6
2,11102555223102v6
5,11104399150185a6
3,11105399150185a6
30,11106100150226v6
4,11108555150117m5
1,11109555150226v6
1,11111399150223a6
1,1111310150224m5
1,11116555150226v5
1,11120321150226v5
1,11122555150226v5
1,1112555150137v5
3,11127567150219m5
1,11128555102224m5
4,11129399150236a6
1,11131111150226v5
1,11132555150203m6
1,11134555212226v6
1,11138543150224m5
1,11139420150195m5
1,11140512150224m5
1,11143555150226v5
4,11145460150224m5
1,11147555117224m6
1,11148555150224m5
3,11149512150100m5
2,11150216150226v5
3,11151307150226v5
1,11154321150226v5
1,11156399150223a6
11,11157215150226v5
3,11159253150224m5
8,11160525150226v5
8,11162346150224m5
1,1116580106102v6
1,11166444150226v6
3,11167211150224m6
2,11169446150226v6
1,11170437150226v6
2,11172399150223a6
2,11175213117126m5
4,11175213117166m5
2,11177555106226v5
3,11178459185166m5
1,11179555198226v5
1,11180543150224m5
1,11181321150226v5
1,11184537150166v5
1,11189399150133a6
1,11192555150226v5
1,11194555214137m6
12,11195202185224m6
3,11196399150146a6
6,11199481150102m6
196,11201103185226v5
5,11204298150226v5
3,1120441150226v6
3,11205399150137a6
33,11207361150226v5
1,11209555150102m6
1,11212369150102m6
1,11214555138224m5
1,1121555180102v6
1,11217555213126m5
1,11217555213166m5
17,11218579150226v5
1,11222519150117m5
1,11226399150137a6
1,11228174150228v6
1,11230174150226v5
7,11233321150195v5
1,11234390150102m6
1,1123555150226v6
1,11235555150195v5
1,11238414143162v6
1,11241555133126m5
1,11245543150117m5
2,1124560150226v6
1,11248555102226v6
1,11251420150224m5
1,11252520150190a6
1,1125555212224m6
3,11259399150207a6
1,11260181150226v6
4,11261475150226v6
1,1126399150223a6
1,11264399150223a6
2,11272535150195v5
1,11275420150195m5
1,11277555150226v5
1,11279354143226v5
5,11280481150226v6
2,11282478150166v5
3,11284399150146a6
2,1128555150226v5
2,11286555150224m5
1,11291555150226v5
1,11293418150226v6
12,1129459185224m6
1,11295123144195v6
2,11296399150236a6
2,11298555150226v5
2,11300572150195v6
2,11302346150137m6
3,11303277144137v6
3,11306200150226v5
2,11310555150226v5
3,11312555150226v5
2,11313481150102m6
3,11314399150236a6
1,11316399150132a6
3,11318481150203m6
19,11319155150226v6
2,11321555150226v5
2,11323272150102m6
2,11325399150132a6
1,11327118185226v5
1,11328555117224m6
2,11329555150226v5
3,11330111150195v5
1,11331399150146a6
1,11332583150226v6
1,11333555150226v5
1,1133555185224m6
1,11339555150226v5
1,11341161150226v5
1,11343555150226v5
1,11347555188102v6
4,11349562150195m5
2,11350555150226v5
1,11352555150226v5
1,11353471150195m5
6,1135555213166m5
1,11357327150100d5
1,11358555194224m6
1,11361399150223a6
2,11364555150226v5
1,11371473150224m5
1,11372151150226v5
2,11374399150207a6
1,11375555146137v5
1,11381555198137v6
3,11384520150190a6
1,11385555159224m5
6,11386555150226v5
1,11387555150226v5
1,11388555150166v5
2,11390555106224m5
1,11392399150223a6
2,11393216150198a6
1,11395501150219m5
1,11396390150224m5
1,11397555197137v6
1,11398554150226v6
1,11400231150195m5
3,11401543150117m5
2,11402399150185a6
1,11403399150223a6
23,11408555185226v6
1,11410310150224m5
3,11411555150226v5
1,11412517150224m5
1,11415543150224m5
2,11416390150224m5
2,11418555119137v6
3,11420399150237a6
1,11425555134226v6
5,1142569117226v5
1,11426555150102m6
1,11428512150117m5
1,11430321150226v5
1,11431399150223a6
1,11433555135137m6
1,11434555197226v5
1,11435555231137v6
1,11438580106147v6
3,11444555150226v5
2,11445545185137v5
2,11449152150166v5
1,11451555150226v5
1,11452225150140m5
1,11453225150117m5
8,11454111150226v5
1,1145555150226v5
1,11458225150117m5
4,11459555150226v5
3,11461555150226v6
4,11464399150236a6
4,11465360150166v5
5,11467187144226v6
1,11470179106226v5
1,11473181150195v6
1,11474555150226v5
5,11482555185137v6
1,11484520150190a6
2,1148543150224m5
2,11487555150226v5
1,11490555150195v5
3,11491399150146a6
6,11492111150219m6
2,11494555197102m6
1,11498399150223a6
1,11499543150102m6
2,11500555144150a6
1,11502555150226v6
1,11503455150126m5
1,11508216150226v6
6,11511111150219m6
1,11512224106224m6
1,11513399150132a6
1,11514555182102m6
5,11516320150117m5
1,11517390150234m5
1,11518479150195v5
2,11519399150150a6
7,11520399150118a6
3,11522555149137v6
1,1152555223102m5
3,11526555215226v5
1,11528555150226v6
1,11529543150224m5
1,11536410150226v6
4,11538111150141v6
1,11539517150224m5
2,11541111150226v5
5,11546170150102m6
1,11548555150226v6
1,11551514150203m6
2,11552520150190a6
1,1155519150117m5
4,11555216150226v6
3,11556309150226v5
1,11564555143102m6
2,11566555150226v5
1,11573399150223a6
1,11574554150226v6
3,11575360150177m5
1,11576555150226v5
1,11579555150226v6
1,11583399150185a6
3,11584310150190m5
3,11585555150226v5
2,11586399150146a6
1,11588555190102v6
1,11589555150226v5
1,11590321150226v5
2,11596188150226v5
2,11601356150195m5
1,11603399150132a6
2,11604420150224m5
2,11609302150226v5
1,11611439144190m6
2,11612289185224m5
1,11614555150226v5
4,1161555150226v5
1,11617399150185a6
1,11621310150224m5
1,11623555150102m6
3,11624555162226v5
1,11625111150203m6
7,11626176185137m6
1,11629555146166v5
1,11630225150224m5
3,11634399150133a6
1,11635481150224m5
2,11636457150226v5
1,11642399150223a6
2,11644399150118a6
81,1164545185137v5
3,11652135150226v6
12,11653561150224m6
1,11656399150185a6
2,11658555141226v5
8,11660555150226v6
1,11661555153102m6
5,11663399150207a6
2,11664555150226v5
3,11666555150226v5
1,11668399150132a6
4,11671385150195v5
1,11674228106178m6
1,11679166150226v6
1,11680555150226v5
1,11681463144195v6
2,11682555138226v6
2,11683555121224m6
1,11684216150224m6
1,11685543150224m5
1,11686532150224m5
1,11687399150185a6
1,11688555150226v5
12,11690111150226v6
1,11694225150195m5
1,11695555166137v6
1,11698383150226v5
1,11699111150224m6
2,11700555146137m6
3,11702399150236a6
2,11704555150226v5
1,11705399150185a6
3,11708236150226v6
3,11710479150226v6
2,11711555150226v6
1,11713555150226v6
3,11714555150226v5
1,1171532150224m5
2,11715555188137v6
2,11719305106224m6
2,11720555150226v5
1,11721399150118a6
4,11725481150102m6
2,1172555150226v6
1,11727301150224m5
3,11728164150226v5
1,11729285150226v5
1,1173439150203m6
6,11735271150226v6
3,11738401150226v5
2,11739555121147v6
1,11740555150226v6
1,11741555150226v5
2,11742520150190a6
1,1174555203137v6
1,11746555150195m5
1,11750399150237a6
1,11751408185195v5
4,11752399150119a6
1,11754350150195m6
6,11755174150195v6
2,1175555150226v5
1,11757555150226v5
1,11761400150190m6
1,11762555121137m6
1,11764555129102m6
1,11765555100137v6
1,11766127150102m6
1,11770569117224m6
1,11771543150224m5
1,11772555119224m6
2,11776555150226v5
1,11781321150226v5
1,11782520150190a6
3,11784399150237a6
1,11787555150226v5
2,11794555150226v5
1,1179555210137v6
1,11795555206137m6
4,11796390150117m5
2,11797555150226v6
2,11801310150224m5
1,11803512150141v6
1,11805545185137v6
3,11808111150224m6
11,11810540106226v5
2,11811490150226v5
2,1181218150117m5
1,11812368100226v6
2,11814455150126m5
1,11815206150126m5
2,11816445150102m6
1,11820555150226v5
3,11821349117102v6
1,11823491150226v6
21,11830177185137m6
6,1183555213166m5
54,11837304146226v6
25,11839490150226v5
2,1184555191137m6
2,11845555198137v6
1,11846393150219m6
4,11848399150198a6
6,11849271150226v5
1,11853555150195v5
1,11854555146224m6
1,1185555150226v5
3,11855555121162v6
1,11856555150226v5
9,11862562150226v6
1,11869555150195v5
2,11870235150226v5
1,11872362150226v6
1,1187321150226v5
1,11876555166226v5
2,11877555195224m5
1,11881174150195v5
1,11889555195226v5
5,11890399150137a6
1,11891555213195m6
1,11893194150166m5
2,11898555150226v5
8,11899564150226v5
7,11900339150226v5
2,11901225150226v5
5,11902399150102a6
5,11905162150226v5
1,11906555222226v6
1,11908517150195m5
1,11912305106224m6
2,11916410150226v5
19,11919170150224m5
4,11920583150226v6
3,11922555150226v5
10,11925553150226v5
2,11926514150224m5
2,11927532150224m5
1,11928463139226v5
1,11932555121226v6
1,11933209150195m5
1,11934117150195v5
1,11936225150117m5
1,11940399150223a6
5,11942570150226v5
2,11946399150213a6
2,11947555137137v6
1,1195515119226v5
1,11956520150190a6
1,11957520150190a6
1,11958321150126m5
2,11960555150226v5
1,11963442150195v5
2,1196555150226v6
6,11965555119102v6
4,11966555150226v6
1,11967390150224m5
2,11970567150226v5
6,11972134150226v6
2,11973399150133a6
1,11974588150226v6
2,11978399150146a6
2,11981399150188a6
1,11985555162137v5
3,11986369150224m5
3,11987216150226v6
5,11991399150146a6
2,11992555150226v5
1,11993555150226v6
1,11996555131226v6
2,11999399150104a6
1,12001555126195m6
3,12002111150224m5
1,12003555150226v5
1,12005434150226v5
2,12007512150102m6
3,12008399150150a6
2,12009555150226v6
1,12010384150195m5
1,12012555144190m6
1,1201555150226v5
3,12017555150226v5
6,12019305106224m5
2,12021555213224m5
1,12023216150224m6
2,12028399150185a6
3,12029555150226v5
2,12030399150132a6
4,12031399150213a6
1,12033519150117m5
1,12034122150126m5
11,12037595150224m5
1,12039555223226v6
1,12042555150117m5
5,12045555150226v6
1,12050399150223a6
2,12054555150226v6
1,1205555117189a6
3,12057399150118a6
1,12059555150226v5
10,12063115150226v5
1,1206517150224m5
3,12065575150224m5
3,12067466150226v5
1,12068555150226v6
1,12070399150223a6
2,12071560150195v6
5,12074555149224m6
3,12075225150224m5
1,1207555150226v5
1,12077555150117m5
4,1208512150117m5
1,12085463186226v5
3,12087340150219m5
1,12091554150226v5
1,12092491150195v5
2,12094346150224m6
1,12095360150166v5
3,12096555229226v6
6,12098555131226v6
1,12099517150224m5
1,12100554150102m6
1,12104225150117m5
2,12107170150135m6
1,12109420150224m5
4,12110555150224m5
1,12112555150226v6
1,12115555150226v6
9,12116404150102m6
6,12118399150150a6
1,12121555148126m5
1,12122151150226v5
2,12123268150177v5
1,12124399150223a6
2,12128520150190a6
2,12129445150141m6
1,12130399150223a6
1,12131366162111m6
11,12133111150129m6
1,12133111150195m6
1,12136399150185a6
1,12137555102137v6
1,12139555100147v6
1,12140321150203m6
22,1214174150226v6
4,12143399150236a6
4,12145174150226v5
2,12148555150226v6
2,12150226150195m6
1,12155555188137m6
3,12156555117224m6
2,12159320150195m5
1,12160555223224m5
2,12163299150226v5
1,12168154150226v6
4,12169322150131a6
2,12170555106137v5
1,12172555150226v5
1,12173555150226v5
3,12179555213166m5
1,12181555150226v6
1,1218384150226v5
54,12184440185138v5
1,12185554150166v5
1,12188555215101m5
1,12189268150166v5
1,12190225150102m6
1,12192390150224m5
3,1219381150117m5
2,12195555117195m6
1,12198555150226v6
1,12199583150226v6
1,12202302150226v6
1,12203323150226v6
1,1220583150226v6
1,12209555150226v5
4,12211298150226v5
5,12213371150226v6
1,12214555150162v6
1,1221555189137v5
3,12221543150224m5
1,12224555169138v5
3,12225399150150a6
1,12232555150226v5
1,12233321150226v5
10,12235478150226v6
5,12241438106226v6
4,12243555150226v6
1,12245225150224m5
1,12246555188137v6
1,12250555131226v6
11,12253170150226v6
1,12254399150188a6
1,12255399150137a6
3,1225555150226v5
11,12260236150226v5
4,12261496150219m6
2,12264399150223a6
1,12270111150195m5
2,12272555100137m6
1,12273555150116a6
1,12275543150117m5
2,12276555150226v5
1,12277555150226v5
1,12278321150141m6
2,12279555121137v6
1,12280338150195v5
3,12281500185224m6
3,12285399150236a6
1,12286555137226v5
3,12287321150195m6
2,12288399150223a6
1,12289390150224m5
3,12293109150224m5
2,12296170150195m5
1,12298111150166m5
1,12305225150117m5
1,12306512150195m6
2,12308360150166v5
1,12311555150162v6
2,1231555150226v5
3,12316548150195v6
1,12317555150226v6
1,12318206150229m5
1,12319439144195m6
5,12320123144226v6
3,12321490150226v5
1,12323555162195v6
1,1232399150185a6
1,12327275150224m5
1,12329554150102m5
6,12330149147219m6
2,1233111150226v5
1,12332302150226v5
1,12333520150190a6
1,12339543150224m5
1,12340555150226v5
4,12341399150146a6
1,12343555150226v5
1,12344520150190a6
1,12345310150224m5
2,1234555156226v5
4,12351555150226v6
2,12354399150236a6
3,12357310150224m5
3,12358555150226v6
4,12361321150226v5
2,12363126150166v5
3,12364483150224m5
1,12368555150226v5
1,12370555150224m5
2,12377555213166m5
2,12380103185195v6
4,12382566150226v5
1,12383543150195m5
1,12384555169111m5
1,12385555231226v5
1,12390555138137v6
2,12393555150226v6
5,12396458150226v5
2,12402168144195v6
1,12403216150226v6
3,12405399150150a6
1,12411555150226v5
1,12415555144190a6
2,12418514150224m5
5,12420399150118a6
3,12421111150102m6
5,1242111150129m6
4,12425399150150a6
1,12426555150226v5
5,12430364146224m6
1,12431350150224m6
1,12432555185138v5
3,12433399150185a6
5,1243399150185a6
1,12435555150226v5
1,12436555121232m6
2,12438555150226v6
1,12439555214147v6
1,12440390150224m5
1,12441134189226v6
1,12443512150117m5
3,1244399150137a6
2,12444500185224m6
1,12449174150117m5
2,12451213117126m5
1,1245239150195m6
1,12452553150131a6
1,12459275150195m5
2,12460555150226v5
1,12464111150226v5
1,12465399150132a6
1,12466555137102v6
1,12469360150126m5
1,12473555150226v6
1,1247555150226v5
3,12478399150185a6
1,12480555150226v5
2,12484543150224m5
4,12487399150102a6
1,12489555150226v5
3,12491399150132a6
4,12495399150236a6
1,12496481150137m6
21,12498500185137m6
2,12500555150226v5
35,12501490150226v5
3,12503520150190a6
4,12508399150185a6
5,12511404150102m6
2,12512555150226v5
4,12518399150198a6
1,12519555119226v6
3,1252111150226v6
4,12521399150236a6
2,12523399150137a6
2,12525555150226v6
1,12526381150226v5
1,12530555121226v6
2,12532555195226v5
1,12533555134226v6
2,12534399150146a6
3,1253555102226v5
1,12537555167111m6
3,12538543150224m5
3,12543399150137a6
42,12544321150226v5
1,12547130185102v6
1,12548555142102m5
3,12551216150219m6
1,12552555150117m5
1,1255302150226v5
2,12553149147219m6
3,12556514150224m5
6,12557478150226v6
1,12559555150226v5
2,12560454150195v5
1,12563399150148a6
3,12564555150224m5
1,12565399150223a6
1,12566399150137a6
1,12569555150226v5
9,12570462150226v5
3,1257111150102m6
1,12571555150226v5
1,12572555150226v5
1,12573555150226v5
2,12575555127137v6
1,12576555166226v5
9,12577268150166v5
1,12579490150226v5
27,12581453150226v5
10,12582298150226v5
7,12583404150102m6
4,1258399150150a6
1,12585569117226v5
2,12586555150162v6
1,12587348150226v6
1,12590555150226v5
1,12591555185151a6
4,12592321150226v6
1,12593399150223a6
1,12597529150162v6
16,12598111150166v5
1,12599555150226v5
16,12600576229134m6
1,12603555150226v5
1,1260512150117m5
1,12606321150226v5
1,12607399150185a6
1,12608555146226v6
2,12609555150226v5
1,12613321150226v5
2,12614555150226v5
6,12615489150224m5
1,12618170150102m6
2,12619555150226v5
2,12630555150226v5
1,12631555150226v5
1,12632555150226v5
2,12633520150190a6
2,12639468150166v5
1,12644555171166v5
3,12645543150224m5
7,12646555146226v6
1,12648317150226v5
4,12650520150190a6
2,12654555150226v5
2,12655399150150a6
1,12656595150224m5
1,12661399150198a6
1,12664555150226v5
1,12666555150226v5
1,12667555150228v6
4,12668170150226v6
1,12671555212102m6
1,12674555102137v6
1,12682555150226v5
1,12684104185226v6
10,12686215150226v5
2,12687555150224m5
5,12689399150198a6
2,12691555150226v5
4,12692398150224m5
7,12694422150226v5
42,12695490150226v5
1,1269555150226v5
1,12697555150226v5
3,12698399150185a6
4,12699399150150a6
1,12707555150226v6
1,12709123144226v6
1,12710512150224m5
3,12714399150146a6
1,1271555135226v6
1,12715555150226v5
3,12722555147126m5
2,12722555147166m5
2,12723555150226v5
1,12724532150224m5
7,12725325150226v5
1,12726390150224m5
46,12730266185224m6
1,1273302150226v5
1,12737310150224m5
1,12739555150226v5
2,12741106150226v5
2,12744583150226v6
1,12747543150224m5
1,12750555131219m6
6,1275521150226v5
1,12755517150224m5
3,12758161150195m5
1,12761555150195v6
2,12763555150226v5
1,12766512150224m5
1,12767555198166v5
1,12769555150224m5
1,12773555150226v5
1,1277399150185a6
1,12774127150102m6
1,12776399150137a6
27,12778500185224m6
4,12779100150226v6
3,12781399150236a6
1,12782555152224m5
6,12783501150226v5
1,12784555150226v5
6,12786399150102a6
10,12789338150226v5
3,12791399150236a6
6,1279237150224m5
1,12794555150226v6
1,12797270150166v5
1,12798399150133a6
1,12800490150226v5
1,12802189150195v5
3,12805126150166v5
3,12807172150226v5
2,12808555150226v5
1,12809555197226v5
1,12810555150126m5
2,12811555150226v5
4,1281555150226v5
1,12818555119102v6
1,12819555134226v6
1,12820487150226v6
1,12821555150144v6
3,12822152150195v5
2,12823407185137v6
3,1282399150133a6
2,12827555144102v6
1,12828555131137m6
2,12829499150195v5
1,12833553150226v5
1,1283455150226v5
1,12834555102138v5
2,12837555106224m5
35,12839321150226v5
1,12842477150195m5
1,12843321150226v5
11,1284490150226v5
1,12846390150224m5
2,12848168144226v6
1,12849555150226v5
5,12850170150195v6
1,12854369150224m5
1,12855399150223a6
