      communityId  class  frequency
319          1469      3          3
320          1472      3          1
321          1475      3          3
322          1486      3          5
323          1486      2          1
324          1488      3          8
325          1492      3          2
326          1520      3          1
327          1521      3          8
328          1524      2          2
329          1524      3          1
330          1526      3         12
331          1526      2          3
332          1532      3          2
333          1540      2          3
334          1544      3          4
335          1544      2          2
336          1548      3          2
337          1557      3          2
338          1562      2          2
339          1572      3          5
340          1572      2          1
341          1573      3         16
342          1573      2          3
343          1587      3          2
344          1588      3          2
345          1598      3          7
346          1600      2          2
347          1600      3          1
348          1607      3          2
349          1616      2          1
350          1616      3          1
351          1619      3          7
352          1633      3          2
353          1639      2          3
354          1643      3          4
355          1649      3          8
356          1664      2          2
357          1664      3          2
358          1669      2          1
359          1669      3          1
360          1678      3          2
361          1682      3          3
362          1687      3          2
363          1697      2          1
364          1702      3          2
365          1707      2          4
366          1707      3          1
367          1709      3          2
368          1719      3          2
369          1726      3          2
370          1731      3          5
371          1732      3         17
372          1732      2         10
373          1734      3          1
374          1741      3          1
375          1742      3          4
376          1745      3          6
377          1746      3          1
378          1747      3          9
379          1753      3          5
380          1759      3          7
381          1763      3          1
382          1765      3          4
383          1765      2          2
384          1767      3          7
385          1767      2          3
386          1770      3          2
387          1778      3          6
388          1778      2          2
389          1780      3          2
390          1780      2          1
391          1807      3          4
392          1807      2          3
393          1810      3          1
394          1825      3          2
395          1829      3          3
396          1830      3          1
397          1832      3          2
398          1839      3          2
399          1845      3          2
400          1852      3          3
401          1861      3          2
402          1870      3          2
403          1873      2          3
404          1878      3          4
405          1880      3          3
406          1885      2          2
407          1891      3          6
408          1896      3          4
409          1898      3          3
410          1905      3          4
411          1917      3          2
412          1920      3          3
413          1925      3          2
414          1931      3          1
415          1941      2          3
416          1945      3          1
417          1949      2          4
418          1949      3          1
419          1956      3          2
420          1974      3          2
421          1981      3          6
422          1990      2          2
423          1990      3          1
424          2000      3          2
425          2003      3          7
426          2011      3         14
427          2011      2          9
428          2015      2          5
429          2015      3          2
430          2018      2          1
431          2022      2          3
432          2026      3         12
433          2026      2          9
434          2026      1          2
435          2027      2          1
436          2040      3          7
437          2040      2          2
438          2047      3          8
439          2055      3          1
440          2057      3          6
441          2061      2          2
442          2075      3          4
443          2077      3          2
444          2078      3         10
445          2080      3          2
446          2086      3          1
447          2097      3          2
448          2103      3          2
449          2105      3          3
450          2111      3          4
451          2117      3          1
452          2118      3          2
453          2122      3          3
454          2126      3          5
455          2126      2          1
456          2128      2          2
457          2128      3          2
458          2143      3          3
459          2153      3          6
460          2153      2          1
461          2157      2          5
462          2164      3          9
463          2164      2          4
464          2165      3          2
465          2167      3          2
466          2171      3          3
467          2180      2          1
468          2182      3          3
469          2184      2          2
470          2189      3          2
471          2195      3          6
472          2200      2          5
473          2200      3          5
474          2208      2          1
475          2228      2          2
476          2228      1          1
477          2228      3          1
478          2230      3          4
479          2237      3          3
480          2238      3          1
481          2243      3          2
482          2250      2          2
483          2250      3          1
484          2251      3          7
485          2252      3          5
486          2254      2          1
487          2254      3          1
488          2255      3          2
489          2256      3         19
490          2256      2          5
491          2261      3          1
492          2262      2          4
493          2281      2          2
494          2281      3          1
495          2284      2          4
496          2284      3          3
497          2304      3          1
498          2305      3          6
499          2307      2          1
500          2307      3          1
501          2316      3          2
502          2317      3          2
503          2329      3          6
504          2329      2          3
505          2332      2          5
506          2332      3          1
507          2336      3         10
508          2337      3          5
509          2339      3          5
510          2339      2          1
511          2341      3          1
512          2344      3          2
513          2349      2          3
514          2351      3          1
515          2353      3          2
516          2374      3          2
517          2377      3          7
518          2378      3          2
519          2379      3          6
520          2390      3          2
521          2396      3          2
522          2397      3          6
523          2397      2          1
524          2402      3          9
525          2406      3          6
526          2412      3          2
527          2420      2          1
528          2438      3          6
529          2444      3          3
530          2444      2          2
531          2448      3          9
532          2448      2          3
533          2452      2          3
534          2460      3          3
535          2474      3          2
536          2486      3          9
537          2490      3          3
538          2490      2          2
539          2501      3         10
540          2506      3          7
541          2511      2          1
542          2512      3          5
543          2515      2         10
544          2515      3          3
545          2524      2          1
546          2524      3          1
547          2537      2          5
548          2537      3          4
549          2542      2         18
550          2550      3          3
551          2553      2          8
552          2553      3          5
553          2559      2          3
554          2564      2          2
555          2564      3          1
556          2566      3          8
557          2569      3          1
558          2578      3          8
559          2590      3          8
560          2591      2          3
561          2591      3          1
562          2594      2          3
563          2594      3          2
564          2602      2          1
565          2603      2         10
566          2603      3          5
567          2609      3          2
568          2613      3          7
569          2618      3          7
570          2622      3          1
571          2624      2          3
572          2630      2          1
573          2643      3         11
574          2649      3          7
575          2649      2          1
576          2652      3          3
577          2652      2          1
578          2654      3          4
579          2659      3          5
580          2661      3          2
581          2661      2          1
582          2667      3          1
583          2669      3          3
584          2669      2          2
585          2672      3          8
586          2676      2          2
587          2679      2         14
588          2681      3          2
589          2693      3          3
590          2699      2          2
591          2699      3          1
592          2703      3          2
593          2705      3         10
594          2713      2          3
595          2721      2          1
596          2721      3          1
597          2724      3          3
598          2724      2          1
599          2728      3          2
600          2741      3          4
601          2741      2          1
602          2749      3          2
603          2755      3          2
604          2764      3          2
605          2767      3          1
606          2770      2          2
607          2776      3          1
608          2785      3          6
609          2799      3         11
610          2804      2          2
611          2805      2         20
612          2805      3          2
613          2806      2          1
614          2807      3          2
615          2809      3          3
616          2814      3          4
617          2816      3          2
618          2816      1          1
619          2818      3          1
620          2822      2         14
621          2822      3          4
622          2823      2          3
623          2823      3          1
624          2833      2          1
625          2833      3          1
626          2834      3          4
627          2841      3          7
628          2857      2          3
629          2857      3          1
630          2864      3          5
631          2866      3          5
632          2866      2          1
633          2867      2          1
634          2867      3          1
635          2871      3          4
636          2874      3          2
637          2875      3          1
638          2880      3          4
639          2886      3          3
640          2896      3          1
641          2907      2          3
642          2913      2          3
643          2919      3          5
644          2923      2          2
645          2928      3          7
646          2935      3          9
647          2935      2          1
648          2943      2          2
649          2945      3          2
650          2945      2          1
651          2948      2         17
652          2948      3          1
653          2954      3          1
654          2956      3          5
655          2960      3         11
656          2961      3         12
657          2979      3          7
658          2980      3          6
659          2984      2          2
660          2986      3          7
661          2988      2          8
662          2990      3          2
663          2990      2          1
664          3000      3          2
665          3012      2          1
666          3012      3          1
667          3016      3          1
668          3019      3          9
669          3021      3         21
670          3021      2          4
671          3026      3          7
672          3029      2          1
673          3029      3          1
674          3032      3          6
675          3037      3          1
676          3038      3          8
677          3044      3          2
678          3046      3          5
679          3048      3          2
680          3051      2          4
681          3056      3          3
682          3061      3          4
683          3068      3          5
684          3068      2          1
685          3076      3          9
686          3077      3          2
687          3080      3          5
688          3082      3          2
689          3084      3          3
690          3084      2          2
691          3088      3          9
692          3103      2          3
693          3103      3          1
694          3104      3          2
695          3107      3          5
696          3124      3          6
697          3126      3          2
698          3136      3          2
699          3141      2          4
700          3144      3          3
701          3154      2          3
702          3154      3          1
703          3156      3          2
704          3159      2          1
705          3160      2         17
706          3165      2          7
707          3165      3          4
708          3175      3          2
709          3176      3          9
710          3181      2          3
711          3201      3          1
712          3210      3          3
713          3211      2          1
714          3212      3          2
715          3212      2          1
716          3214      3          4
717          3214      2          1
718          3223      3          4
719          3224      3          2
720          3235      3          3
721          3235      2          2
722          3237      2          6
723          3243      3          5
724          3244      3          9
725          3244      2          3
726          3256      3          1
727          3258      2          3
728          3260      2          2
729          3271      3          9
730          3271      2          2
731          3278      3          3
732          3282      3          2
733          3283      3          2
734          3283      2          1
735          3286      2          6
736          3289      3          2
737          3290      3          2
738          3312      2          3
739          3329      3          2
740          3334      3          1
741          3354      2          3
742          3355      3          2
743          3360      3          5
744          3371      2          4
745          3371      3          1
746          3404      2          2
747          3404      3          1
748          3414      3          4
749          3432      3          1
750          3435      3          5
751          3435      2          1
752          3438      2          1
753          3441      2          2
754          3443      3          1
755          3449      3          5
756          3449      2          1
757          3450      3          3
758          3450      2          1
759          3465      2          2
760          3468      3          5
761          3482      3          3
762          3482      2          2
763          3484      3          4
764          3496      3          6
765          3500      2          1
766          3500      3          1
767          3502      2          1
768          3502      3          1
769          3507      2          2
770          3515      3          6
771          3538      3          3
772          3538      2          1
773          3539      3         20
774          3539      2          4
775          3543      3          5
776          3558      3          2
777          3562      3          3
778          3565      3          2
779          3565      2          1
780          3569      3          1
781          3573      3          2
782          3576      3          1
783          3584      2          4
784          3589      2          3
785          3591      2          1
786          3603      2          2
787          3608      3          5
788          3610      3          7
789          3617      3          4
790          3618      3          1
791          3622      3          3
792          3626      3          2
793          3629      2          2
794          3629      3          2
795          3634      2          3
796          3637      2          4
797          3640      3          7
798          3649      3          1
799          3650      3         10
800          3666      3          9
801          3666      2          1
802          3669      2          2
803          3672      3          2
804          3675      3         10
805          3685      3          2
806          3689      3          1
807          3693      3          2
808          3695      3          2
809          3708      3          3
810          3708      2          1
811          3718      2          3
812          3721      3          2
813          3729      3          2
814          3730      2          1
815          3735      3          7
816          3740      2          5
817          3749      3          2
818          3754      3          8
819          3754      2          5
820          3756      3          2
821          3758      3          5
822          3762      3          5
823          3765      3          3
824          3768      2          1
825          3768      3          1
826          3769      3          1
827          3771      3          4
828          3771      2          2
829          3792      3          4
830          3792      2          2
831          3806      3          1
832          3817      3         13
833          3818      2          1
834          3821      3          3
835          3826      2          2
836          3826      3          1
837          3831      2          4
838          3835      3          1
839          3838      3          2
840          3839      3         11
841          3843      3          6
842          3854      2          1
843          3860      2          2
844          3866      3          8
845          3868      3          4
846          3876      3         10
847          3879      3          2
848          3880      3          3
849          3880      2          2
850          3886      2         14
851          3886      3          3
852          3888      3          3
853          3890      3          5
854          3895      3          2
855          3896      3          2
856          3905      2          4
857          3908      3         20
858          3908      2          2
859          3917      3         10
860          3918      2          1
861          3918      3          1
862          3923      3          8
863          3926      3         11
864          3933      2          2
865          3933      3          2
866          3941      2          2
867          3941      3          2
868          3948      3          4
869          3948      2          1
870          3955      3          2
871          3956      3          5
872          3958      2          1
873          3976      2          3
874          3976      3          1
875          3978      3          6
876          3983      3          1
877          3984      3          1
878          3991      3          3
879          3992      2          3
880          4007      3          9
881          4010      3          3
882          4012      2          3
883          4012      3          1
884          4024      3          6
885          4031      3          3
886          4044      3          1
887          4051      3          1
888          4052      3          1
889          4053      3         11
890          4055      3          2
891          4059      3         15
892          4059      2          6
893          4068      3          2
894          4075      2          1
895          4082      2          3
896          4085      3          2
897          4091      3          3
898          4091      2          1
899          4095      3          3
900          4100      3          6
901          4101      3          4
902          4102      3          2
903          4111      3          3
904          4114      3          9
905          4115      3          1
906          4120      2          3
907          4122      3          3
908          4132      3          3
909          4134      3          5
910          4143      3          1
911          4146      3          3
912          4146      2          1
913          4172      3          1
914          4173      3          2
915          4189      3          6
916          4197      3          3
917          4207      3          5
918          4208      3          6
919          4208      2          1
920          4210      3          2
921          4214      2          1
922          4214      3          1
923          4216      3          3
924          4223      3          4
925          4224      3          8
926          4224      2          1
927          4229      3          5
928          4229      2          1
929          4234      3          3
930          4238      3         10
931          4238      2          1
932          4242      2          2
933          4242      3          1
934          4247      3          4
935          4248      3          6
936          4252      3          2
937          4253      3          1
938          4255      3          5
939          4256      3         24
940          4256      2          7
941          4260      2          1
942          4263      3          1
943          4266      3          4
944          4278      3          5
945          4278      2          3
946          4283      3          2
947          4283      2          1
948          4290      3          3
949          4291      3          1
950          4297      3          8
951          4309      2          1
952          4312      2          2
953          4312      3          2
954          4319      3          7
955          4326      2          3
956          4332      3          2
957          4335      3          3
958          4335      2          2
959          4339      3          8
960          4348      2          3
961          4348      3          1
962          4352      3          2
963          4354      2          2
964          4368      3          6
965          4377      2          1
966          4377      3          1
967          4380      3          1
968          4389      3          4
969          4391      2          4
970          4400      3          2
971          4401      3          2
972          4404      3          3
973          4408      3          5
974          4412      3          8
975          4417      3          5
976          4419      2          1
977          4425      2          2
978          4425      3          1
979          4430      3          2
980          4439      2          2
981          4439      3          1
982          4440      3          2
983          4441      3          3
984          4442      3          2
985          4445      3          2
986          4458      2         12
987          4458      3          2
988          4459      3          3
989          4459      2          2
990          4470      2          4
991          4471      3          2
992          4473      2          3
993          4475      3          2
994          4477      3          6
995          4480      3          2
996          4483      2          6
997          4493      2          3
998          4503      3          5
999          4508      3          1
1000         4513      3          5
1001         4515      2          2
1002         4520      3          2
1003         4520      2          1
1004         4522      2         11
1005         4527      2          1
1006         4527      3          1
1007         4533      3          8
1008         4544      3          2
1009         4548      3          4
1010         4548      2          2
1011         4572      2          2
1012         4574      2          7
1013         4574      3          4
1014         4579      3          4
1015         4591      3          1
1016         4597      3          3
1017         4602      3          2
1018         4602      2          1
1019         4604      2          1
1020         4604      3          1
1021         4615      3          3
1022         4619      3          2
1023         4619      2          1
1024         4621      3          3
1025         4632      3          2
1026         4633      3          3
1027         4633      2          2
1028         4634      3          7
1029         4644      2          3
1030         4644      3          3
1031         4651      2          2
1032         4664      3          2
1033         4666      3          3
1034         4667      3          2
1035         4670      3          4
1036         4678      3          2
1037         4686      3          2
1038         4689      2          4
1039         4689      3          2
1040         4690      3          2
1041         4694      2          1
1042         4706      3          4
1043         4706      2          2
1044         4711      3          5
1045         4711      2          1
1046         4713      2          4
1047         4728      2          2
1048         4731      2          3
1049         4731      3          2
1050         4734      3         10
1051         4737      3         11
1052         4749      2          1
1053         4762      3          4
1054         4762      2          3
1055         4772      2          2
1056         4772      3          1
1057         4773      3          4
1058         4784      3         11
1059         4785      3          7
1060         4785      2          1
1061         4794      3          4
1062         4800      2          2
1063         4802      3          7
1064         4807      3          1
1065         4811      3          4
1066         4811      2          1
1067         4812      3          4
1068         4816      2          1
1069         4816      3          1
1070         4817      3          1
1071         4830      3          4
1072         4833      3          2
1073         4836      2          1
1074         4836      3          1
1075         4837      3          9
1076         4848      3          2
1077         4852      3          8
1078         4854      2          4
1079         4856      3          4
1080         4860      3          4
1081         4866      3          3
1082         4871      3          6
1083         4877      3          2
1084         4879      3          2
1085         4879      2          1
1086         4886      2          1
1087         4886      3          1
1088         4888      3         25
1089         4889      2          1
1090         4893      3          7
1091         4895      2          4
1092         4898      3          1
1093         4914      3          2
1094         4914      2          1
1095         4915      3          3
1096         4936      3          7
1097         4955      3          5
1098         4956      3          2
1099         4961      2          2
1100         4962      3          2
1101         4966      3          4
1102         4969      3          5
1103         4973      3          2
1104         4974      2          1
1105         4983      3          4
1106         4985      3          4
1107         4989      2          4
1108         4989      3          1
1109         4993      3          6
1110         4993      2          3
1111         5001      3          2
1112         5010      3          2
1113         5018      2          3
1114         5025      3          2
1115         5026      3          9
1116         5032      2          1
1117         5032      3          1
1118         5034      3          2
1119         5043      3         19
1120         5043      2         10
1121         5049      3          6
1122         5050      3          3
1123         5067      3          5
1124         5072      3          4
1125         5072      2          2
1126         5076      3          2
1127         5080      2          3
1128         5080      3          3
1129         5081      3          2
1130         5081      2          1
1131         5087      2          2
1132         5087      3          1
1133         5097      3          3
1134         5099      3          3
1135         5099      2          1
1136         5103      2          2
1137         5107      2          4
1138         5108      3          3
1139         5116      2          3
1140         5116      3          3
1141         5124      2          1
1142         5124      3          1
1143         5125      3          4
1144         5125      2          1
1145         5129      2          8
1146         5129      3          2
1147         5138      3          1
1148         5139      3          1
1149         5145      3          9
1150         5145      2          8
1151         5151      3          1
1152         5161      3          1
1153         5168      2          2
1154         5169      3          2
1155         5172      3          2
1156         5178      3          2
1157         5179      3          9
1158         5181      3          6
1159         5189      3          2
1160         5189      2          1
1161         5191      2          3
1162         5191      3          1
1163         5195      3          2
1164         5196      3          4
1165         5199      2          3
1166         5201      3          2
1167         5201      2          1
1168         5202      2          2
1169         5202      3          1
1170         5204      3          7
1171         5204      2          1
1172         5210      2        100
1173         5210      3          1
1174         5212      2          3
1175         5213      3          3
1176         5213      2          2
1177         5220      3          3
1178         5220      2          2
1179         5227      3          1
1180         5234      3          7
1181         5239      3          7
1182         5240      3          5
1183         5248      3          7
1184         5268      2          1
1185         5272      3          4
1186         5274      3          3
1187         5275      3          2
1188         5275      2          1
1189         5292      3          2
1190         5298      3          3
1191         5301      3          7
1192         5302      3          2
1193         5305      3          2
1194         5306      3          1
1195         5307      3          1
1196         5315      3          2
1197         5319      2          2
1198         5319      3          2
1199         5327      3          3
1200         5328      2          2
1201         5333      3          6
1202         5335      3          3
1203         5335      2          1
1204         5337      3          3
1205         5340      2          2
1206         5340      3          1
1207         5346      2          4
1208         5346      3          4
1209         5354      2          1
1210         5362      2          1
1211         5368      3          2
1212         5376      3          2
1213         5376      2          1
1214         5383      2          2
1215         5384      2          7
1216         5384      3          6
1217         5387      3          1
1218         5388      3          8
1219         5390      3          1
1220         5392      3          2
1221         5394      3          1
1222         5398      3          1
1223         5402      2          3
1224         5417      3          3
1225         5417      2          1
1226         5425      3          4
1227         5426      2          1
1228         5429      3          1
1229         5430      3          9
1230         5430      2          1
1231         5432      2          4
1232         5438      3          2
1233         5438      1          1
1234         5441      2          2
1235         5442      3          3
1236         5442      2          1
1237         5448      3          1
1238         5450      3          3
1239         5450      2          1
1240         5455      2          1
1241         5459      3          5
1242         5459      2          3
1243         5461      3          2
1244         5464      3          3
1245         5473      3          3
1246         5480      3          2
1247         5484      3          5
1248         5487      3          2
1249         5496      3          2
1250         5501      3          7
1251         5502      2          2
1252         5502      3          1
1253         5503      3          2
1254         5506      2          1
1255         5506      3          1
1256         5509      2         16
1257         5509      3          5
1258         5513      2          2
1259         5516      3          2
1260         5519      2          6
1261         5519      3          2
1262         5526      3          3
1263         5528      3          2
1264         5535      3          4
1265         5542      3          6
1266         5544      3          1
1267         5545      3         10
1268         5551      3          2
1269         5551      2          1
1270         5556      2          1
1271         5563      3          7
1272         5563      2          1
1273         5564      3          2
1274         5570      2          2
1275         5580      3          1
1276         5583      3          1
1277         5592      3          3
1278         5592      2          2
1279         5594      3          2
1280         5600      3          4
1281         5602      2          3
1282         5607      3          2
1283         5609      3          1
1284         5612      2          4
1285         5615      2          7
1286         5615      3          5
1287         5619      3          3
1288         5619      2          1
1289         5623      3          6
1290         5624      2          3
1291         5627      2          3
1292         5628      3          2
1293         5630      3          2
1294         5631      2         69
1295         5631      3         46
1296         5631      1          1
1297         5645      3          8
1298         5645      2          3
1299         5661      3          2
1300         5663      3          7
1301         5665      3          5
1302         5667      2          1
1303         5667      3          1
1304         5668      2          4
1305         5677      3          1
1306         5682      3          3
1307         5695      3          3
1308         5695      2          2
1309         5711      3          3
1310         5712      2          3
1311         5713      2          1
1312         5713      3          1
1313         5716      2          2
1314         5718      2          3
1315         5720      3          6
1316         5720      2          1
1317         5722      2          1
1318         5722      3          1
1319         5729      2          3
1320         5732      2          2
1321         5740      2          2
1322         5745      3          2
1323         5750      3          2
1324         5750      2          1
1325         5756      3          4
1326         5758      2          2
1327         5760      2          2
1328         5760      3          1
1329         5763      3          7
1330         5766      2          4
1331         5766      3          1
1332         5772      3          2
1333         5772      2          1
1334         5781      3          3
1335         5783      3          6
1336         5788      2          2
1337         5797      3          3
1338         5798      2          1
1339         5801      3          2
1340         5803      2          3
1341         5803      3          3
1342         5810      2          3
1343         5817      3          3
1344         5821      2          2
1345         5821      3          1
1346         5824      3         12
1347         5831      3          1
1348         5836      3          4
1349         5840      3          2
1350         5861      3          1
1351         5876      3          4
1352         5877      3          1
1353         5880      3          3
1354         5880      2          1
1355         5882      2          2
1356         5882      3          1
1357         5886      3          2
1358         5886      2          1
1359         5890      3          3
1360         5890      2          1
1361         5896      2          2
1362         5901      3          6
1363         5916      3          8
1364         5917      3          5
1365         5924      3          4
1366         5926      3          2
1367         5936      2          1
1368         5937      2          2
1369         5939      3          4
1370         5945      3          7
1371         5959      2          2
1372         5959      3          1
1373         5968      2          2
1374         5974      3          4
1375         5978      3          3
1376         5982      3          6
1377         5989      2          3
1378         5991      3          7
1379         5992      3          5
1380         5995      2          1
1381         5998      3          3
1382         6004      3          2
1383         6010      3          4
1384         6010      2          1
1385         6013      3          4
1386         6016      3          3
1387         6028      3          2
1388         6033      3          3
1389         6038      3          2
1390         6046      3          3
1391         6047      3          4
1392         6048      2          1
1393         6050      3          2
1394         6051      2          1
1395         6061      2          1
1396         6061      3          1
1397         6074      2          1
1398         6074      3          1
1399         6081      3          2
1400         6087      3          4
1401         6087      2          1
1402         6088      3          3
1403         6091      2          2
1404         6091      3          1
1405         6100      3          4
1406         6100      2          2
1407         6104      2          2
1408         6104      3          1
1409         6105      3          6
1410         6105      2          3
1411         6109      2          4
1412         6109      3          4
1413         6117      2          2
1414         6124      3          6
1415         6126      3          2
1416         6136      3         22
1417         6136      2          6
1418         6138      3          4
1419         6139      3          2
1420         6143      3          4
1421         6143      2          1
1422         6144      2          5
1423         6148      3          5
1424         6149      3          1
1425         6156      3          4
1426         6156      2          3
1427         6161      3          2
1428         6162      3          2
1429         6164      3          2
1430         6175      3         12
1431         6179      3         11
1432         6180      3          2
1433         6188      2          3
1434         6188      3          1
1435         6191      2          4
1436         6191      3          2
1437         6193      3          2
1438         6194      3         10
1439         6200      3          2
1440         6204      3          3
1441         6205      3          1
1442         6212      3          2
1443         6218      3          2
1444         6222      3          4
1445         6224      2          3
1446         6226      2         16
1447         6227      3         12
1448         6227      2          3
1449         6229      3          3
1450         6231      2          1
1451         6231      3          1
1452         6233      3          8
1453         6244      3          2
1454         6246      2          1
1455         6249      3          5
1456         6250      3          3
1457         6258      3          1
1458         6267      2          2
1459         6273      3          3
1460         6273      2          1
1461         6281      3          3
1462         6295      3         14
1463         6295      2          2
1464         6296      3          2
1465         6296      2          1
1466         6300      3          1
1467         6305      3          4
1468         6305      2          2
1469         6307      3          8
1470         6319      3          6
1471         6322      2          2
1472         6325      3          4
1473         6327      3          8
1474         6327      2          1
1475         6328      3          2
1476         6328      2          1
1477         6331      3          6
1478         6333      2          3
1479         6339      3          2
1480         6347      3          1
1481         6352      3          1
1482         6353      3          4
1483         6355      3          2
1484         6361      3          2
1485         6361      2          1
1486         6363      3          4
1487         6365      3          2
1488         6372      2          1
1489         6373      3         10
1490         6380      2          1
1491         6389      3          3
1492         6391      2          3
1493         6395      3          2
1494         6396      2          3
1495         6404      2          3
1496         6409      3          4
1497         6409      2          1
1498         6410      3          5
1499         6410      2          1
1500         6415      3          3
1501         6418      2          1
1502         6418      3          1
1503         6421      3          2
1504         6421      2          1
1505         6422      3         10
1506         6426      3          6
1507         6433      3          8
1508         6434      3          7
1509         6437      3          2
1510         6441      3          6
1511         6442      2          1
1512         6444      3          1
1513         6445      2          3
1514         6448      2          2
1515         6448      3          1
1516         6451      3          8
1517         6454      2          3
1518         6457      3          3
